"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"23390";"XAUUSD_DARWINEX";"Buy";"2024.04.19 10:13:00";"2392.62";"0.10000";"2024.04.19 11:11:00";"2380.30";"-124.40";"129428.00";"IST";"SL";"-123.20";"11.75";"58m 0s";""
"23395";"XAUUSD_DARWINEX";"Buy";"2024.04.19 18:00:00";"2392.62";"0.10000";"2024.04.19 21:59:00";"2397.37";"46.30";"129474.30";"IST";"End Of Friday (Time)";"-34.75";"92.25";"3h 59m";""
"23440";"XAUUSD_DARWINEX";"Buy";"2024.04.25 17:35:00";"2337.13";"0.10000";"2024.04.25 19:20:00";"2324.93";"-123.17";"129351.13";"IST";"SL";"-122.00";"75.78";"1h 45m";""
"23523";"XAUUSD_DARWINEX";"Buy";"2024.05.06 10:39:00";"2320.55";"0.10000";"2024.05.06 12:23:00";"2316.12";"-45.46";"129305.67";"IST";"TrailingStop";"-44.30";"34.95";"1h 44m";""
"23558";"XAUUSD_DARWINEX";"Buy";"2024.05.09 15:31:00";"2321.34";"0.10000";"2024.05.09 16:10:00";"2320.93";"-5.26";"129300.41";"IST";"TrailingStop";"-15.05";"78.38";"39m 0s";""
"23586";"XAUUSD_DARWINEX";"Buy";"2024.05.15 10:34:00";"2364.36";"0.10000";"2024.05.15 13:43:00";"2367.82";"33.42";"129333.83";"IST";"TrailingStop";"-30.75";"98.15";"3h 9m";""
"23587";"XAUUSD_DARWINEX";"Buy";"2024.05.16 07:30:00";"2390.19";"0.10000";"2024.05.16 10:11:00";"2385.68";"-46.30";"129287.54";"IST";"TrailingStop";"-45.10";"41.98";"2h 41m";""
"23588";"XAUUSD_DARWINEX";"Buy";"2024.05.16 11:01:00";"2390.19";"0.10000";"2024.05.16 15:39:00";"2380.08";"-102.30";"129185.24";"IST";"SL";"-101.10";"10.65";"4h 38m";""
"23609";"XAUUSD_DARWINEX";"Buy";"2024.05.17 16:02:00";"2397.28";"0.20000";"2024.05.17 18:14:00";"2407.88";"209.60";"129394.84";"IST";"TrailingStop";"-33.50";"434.16";"2h 12m";""
"23610";"XAUUSD_DARWINEX";"Buy";"2024.05.20 16:10:00";"2422.57";"0.10000";"2024.05.20 16:34:00";"2412.21";"-104.81";"129290.03";"IST";"SL";"-103.60";"0.00";"24m 0s";""
"23611";"XAUUSD_DARWINEX";"Buy";"2024.05.20 17:57:00";"2422.57";"0.10000";"2024.05.20 22:25:00";"2429.15";"64.59";"129354.63";"IST";"TrailingStop";"-32.42";"146.35";"4h 28m";""
"23680";"XAUUSD_DARWINEX";"Buy";"2024.05.28 16:15:00";"2358.39";"0.10000";"2024.05.28 17:04:00";"2348.38";"-101.28";"129253.34";"IST";"SL";"-100.10";"55.85";"49m 0s";""
"23751";"XAUUSD_DARWINEX";"Buy";"2024.06.05 18:01:00";"2352.65";"0.20000";"2024.06.06 06:26:00";"2369.07";"326.05";"129579.39";"IST";"TrailingStop";"-61.44";"443.10";"12h 25m";""
"23753";"XAUUSD_DARWINEX";"Buy";"2024.06.07 03:46:00";"2378.41";"0.20000";"2024.06.07 08:19:00";"2381.20";"53.42";"129632.81";"IST";"TrailingStop";"-182.64";"183.70";"4h 33m";""
"23754";"XAUUSD_DARWINEX";"Buy";"2024.06.07 10:12:00";"2378.41";"0.20000";"2024.06.07 11:02:00";"2368.84";"-193.78";"129439.03";"IST";"SL";"-191.40";"16.50";"50m 0s";""
"23785";"XAUUSD_DARWINEX";"Buy";"2024.06.12 15:30:00";"2319.86";"0.20000";"2024.06.12 16:36:00";"2330.39";"208.28";"129647.31";"IST";"TrailingStop";"0.00";"432.70";"1h 6m";""
"23814";"XAUUSD_DARWINEX";"Buy";"2024.06.14 13:21:00";"2326.49";"0.20000";"2024.06.14 16:30:00";"2326.23";"-7.53";"129639.79";"IST";"TrailingStop";"-10.24";"201.70";"3h 9m";""
